title,year,runtime,genre,rating,director,writer,actorPrimaryName
Taxi Killer,2022,106,Action,5.6,Stelvio Massi,Mario Gariazzo,Van Johnson
Taxi Killer,2022,106,Action,5.6,Stelvio Massi,Mario Gariazzo,Jack Kandel
Taxi Killer,2022,106,Action,5.6,Stelvio Massi,Mario Gariazzo,Eddie J. Fernandez
Taxi Killer,2022,106,Action,5.6,Stelvio Massi,Mario Gariazzo,Robert Minkoff
Taxi Killer,2022,106,Action,5.6,Stelvio Massi,Mario Gariazzo,Walter D'Amore
Taxi Killer,2022,106,Action,5.6,Stelvio Massi,Mario Gariazzo,Stefano Maria Mioni
Taxi Killer,2022,106,Action,5.6,Stelvio Massi,Mario Gariazzo,Chuck Connors
Falling Stars,2023,80,Drama,6.3,Gabriel Bienczycki,Richard Karpala,Shaun Duke Jr.
Falling Stars,2023,80,Drama,6.3,Gabriel Bienczycki,Richard Karpala,Steve Gelder
Falling Stars,2023,80,Drama,6.3,Gabriel Bienczycki,Richard Karpala,Steve Gelder
Falling Stars,2023,80,Drama,6.3,Gabriel Bienczycki,Richard Karpala,Greg Poppa
Falling Stars,2023,80,Drama,6.3,Gabriel Bienczycki,Richard Karpala,Diane Worman
Falling Stars,2023,80,Drama,6.3,Gabriel Bienczycki,Richard Karpala,Andrew Gabriel
Falling Stars,2023,80,Drama,6.3,Gabriel Bienczycki,Richard Karpala,Piotr Adamczyk
Falling Stars,2023,80,Drama,6.3,Gabriel Bienczycki,Richard Karpala,J. Aaron Boykin
Der Spiegel,2023,\N,Drama,5.8,Ralf Kemper,Ralf Kemper,Prashant Prabhakar
Der Spiegel,2023,\N,Drama,5.8,Ralf Kemper,Ralf Kemper,Ole Pampuch
Der Spiegel,2023,\N,Drama,5.8,Ralf Kemper,Ralf Kemper,Christian Stock
Der Spiegel,2023,\N,Drama,5.8,Ralf Kemper,Ralf Kemper,Gerrit Reinecke
Der Spiegel,2023,\N,Drama,5.8,Ralf Kemper,Ralf Kemper,Felix Kraemer
Causeway,2022,94,Drama,6.6,Lila Neugebauer,Ottessa Moshfegh,Han Soto
Causeway,2022,94,Drama,6.6,Lila Neugebauer,Ottessa Moshfegh,Brian Tyree Henry
Causeway,2022,94,Drama,6.6,Lila Neugebauer,Ottessa Moshfegh,Sean Carvajal
Causeway,2022,94,Drama,6.6,Lila Neugebauer,Ottessa Moshfegh,Frederick Weller
Causeway,2022,94,Drama,6.6,Lila Neugebauer,Ottessa Moshfegh,Neal Huff
Causeway,2022,94,Drama,6.6,Lila Neugebauer,Ottessa Moshfegh,Danny Wolohan
Last American Horror Show: Volume II,2022,\N,Horror,4.8,Montgomery Dodson,Montgomery Dodson,Greg Lutz
Last American Horror Show: Volume II,2022,\N,Horror,4.8,Montgomery Dodson,Montgomery Dodson,Mike Ferguson
Last American Horror Show: Volume II,2022,\N,Horror,4.8,Montgomery Dodson,Montgomery Dodson,Timothy Patrick Quill
Last American Horror Show: Volume II,2022,\N,Horror,4.8,Montgomery Dodson,Montgomery Dodson,Jonathan Tiersten
Last American Horror Show: Volume II,2022,\N,Horror,4.8,Montgomery Dodson,Montgomery Dodson,Mel Novak
Khel Kood Aur Bhoot,2022,120,Comedy,7.4,Adnan Malik,Adnan Malik,Adnan Malik
Khel Kood Aur Bhoot,2022,120,Comedy,7.4,Adnan Malik,Adnan Malik,Madan Singh
Khel Kood Aur Bhoot,2022,120,Comedy,7.4,Adnan Malik,Adnan Malik,Pranav Verma
Khel Kood Aur Bhoot,2022,120,Comedy,7.4,Adnan Malik,Adnan Malik,Shahrukh Buhariwala
Five Nights at Freddy's: Demons of the Past,2023,\N,Horror,7.7,John Raya,John Raya,Henry Gomez
Five Nights at Freddy's: Demons of the Past,2023,\N,Horror,7.7,John Raya,John Raya,Liam Gartland Emond
Five Nights at Freddy's: Demons of the Past,2023,\N,Horror,7.7,John Raya,John Raya,Grey Rich
Five Nights at Freddy's: Demons of the Past,2023,\N,Horror,7.7,John Raya,John Raya,Grey Rich
Five Nights at Freddy's: Demons of the Past,2023,\N,Horror,7.7,John Raya,John Raya,John Raya
Five Nights at Freddy's: Demons of the Past,2023,\N,Horror,7.7,John Raya,John Raya,John Raya
Five Nights at Freddy's: Demons of the Past,2023,\N,Horror,7.7,John Raya,John Raya,John Raya
Five Nights at Freddy's: Demons of the Past,2023,\N,Horror,7.7,John Raya,John Raya,Joseph Landin
Five Nights at Freddy's: Demons of the Past,2023,\N,Horror,7.7,John Raya,John Raya,Seth Denton-Hughes
Five Nights at Freddy's: Demons of the Past,2023,\N,Horror,7.7,John Raya,John Raya,Withered Kenny
Five Nights at Freddy's: Demons of the Past,2023,\N,Horror,7.7,John Raya,John Raya,Sal Flores
Five Nights at Freddy's: Demons of the Past,2023,\N,Horror,7.7,John Raya,John Raya,Aaron Gomez
Raavana Kottam,2023,122,Action,4.3,Vikram Sugumaran,Vikram Sugumaran,Prabhu
Raavana Kottam,2023,122,Action,4.3,Vikram Sugumaran,Vikram Sugumaran,Shaji Chen
Raavana Kottam,2023,122,Action,4.3,Vikram Sugumaran,Vikram Sugumaran,Sanjay Saravanan
Raavana Kottam,2023,122,Action,4.3,Vikram Sugumaran,Vikram Sugumaran,Aruldoss
Raavana Kottam,2023,122,Action,4.3,Vikram Sugumaran,Vikram Sugumaran,Shanthnu Bhagyaraj
Raavana Kottam,2023,122,Action,4.3,Vikram Sugumaran,Vikram Sugumaran,S R Pandiyan
Raavana Kottam,2023,122,Action,4.3,Vikram Sugumaran,Vikram Sugumaran,Ilavarasu
Raavana Kottam,2023,122,Action,4.3,Vikram Sugumaran,Vikram Sugumaran,Anthakudi Ilayaraja
The Time Capsule,2022,105,Drama,5.4,Erwann Marshall,Chad Fifer,Baron Vaughn
The Time Capsule,2022,105,Drama,5.4,Erwann Marshall,Chad Fifer,Voltaire Colin Council
The Time Capsule,2022,105,Drama,5.4,Erwann Marshall,Chad Fifer,Charles Green
The Time Capsule,2022,105,Drama,5.4,Erwann Marshall,Chad Fifer,Ravi Patel
The Time Capsule,2022,105,Drama,5.4,Erwann Marshall,Chad Fifer,Todd Grinnell
The Time Capsule,2022,105,Drama,5.4,Erwann Marshall,Chad Fifer,Nelson Bonilla
Women in Black,2023,\N,Comedy,8.6,Gor Kirakosian,Ashot Abrahamyan,Grigor Danielyan
Women in Black,2023,\N,Comedy,8.6,Gor Kirakosian,Ashot Abrahamyan,Aram Mp3
Women in Black,2023,\N,Comedy,8.6,Gor Kirakosian,Ashot Abrahamyan,Armen Darbinyan
Women in Black,2023,\N,Comedy,8.6,Gor Kirakosian,Ashot Abrahamyan,Rafayel Yeranosyan
Women in Black,2023,\N,Comedy,8.6,Gor Kirakosian,Ashot Abrahamyan,Edgar Khachatryan
Basenji,2023,81,Drama,8.6,Ian Scott Clement,Gourav Basnet,Ankeet Khadka
Basenji,2023,81,Drama,8.6,Ian Scott Clement,Gourav Basnet,Supreme Rai
Basenji,2023,81,Drama,8.6,Ian Scott Clement,Gourav Basnet,Niru Khadka
Basenji,2023,81,Drama,8.6,Ian Scott Clement,Gourav Basnet,Asim Niroula
Basenji,2023,81,Drama,8.6,Ian Scott Clement,Gourav Basnet,Raj Pangeni Sharma
Basenji,2023,81,Drama,8.6,Ian Scott Clement,Gourav Basnet,Pratik Dulal
Basenji,2023,81,Drama,8.6,Ian Scott Clement,Gourav Basnet,Mokshya Adhikari
Night Rider,2022,90,Action,6.4,Kasun Chandranath Pathirana,Shrinath Chathuranga,Kalana Gunasekara
Night Rider,2022,90,Action,6.4,Kasun Chandranath Pathirana,Shrinath Chathuranga,Bimal Jayakodi
Night Rider,2022,90,Action,6.4,Kasun Chandranath Pathirana,Shrinath Chathuranga,W. Jayasiri
Night Rider,2022,90,Action,6.4,Kasun Chandranath Pathirana,Shrinath Chathuranga,Mahendra Perera
The Hunger Games: The Ballad of Songbirds & Snakes,2023,157,Action,6.8,Francis Lawrence,Michael Lesslie,Clemens Schick
The Hunger Games: The Ballad of Songbirds & Snakes,2023,157,Action,6.8,Francis Lawrence,Michael Lesslie,Tom Blyth
The Hunger Games: The Ballad of Songbirds & Snakes,2023,157,Action,6.8,Francis Lawrence,Michael Lesslie,Dexter Sol Ansell
Infelices para Siempre,2023,90,Comedy,5.3,Noé Santillán-López,Miguel García Moreno,Carlos Gatica
Infelices para Siempre,2023,90,Comedy,5.3,Noé Santillán-López,Miguel García Moreno,Adrian Uribe
Infelices para Siempre,2023,90,Comedy,5.3,Noé Santillán-López,Miguel García Moreno,Niko Antonyan
Infelices para Siempre,2023,90,Comedy,5.3,Noé Santillán-López,Miguel García Moreno,Luis Arrieta
The Marvels,2023,105,Action,5.6,Nia DaCosta,Nia DaCosta,Mohan Kapur
The Marvels,2023,105,Action,5.6,Nia DaCosta,Nia DaCosta,Samuel L. Jackson
The Marvels,2023,105,Action,5.6,Nia DaCosta,Nia DaCosta,Saagar Shaikh
The Marvels,2023,105,Action,5.6,Nia DaCosta,Nia DaCosta,Park Seo-joon
The Marvels,2023,105,Action,5.6,Nia DaCosta,Nia DaCosta,Gary Lewis
Rucker,2022,96,Drama,2.8,Amy Hesketh,Amy Hesketh,Corey Taylor
Rucker,2022,96,Drama,2.8,Amy Hesketh,Amy Hesketh,Sean Pickering
Rucker,2022,96,Drama,2.8,Amy Hesketh,Amy Hesketh,Zivin King
Rucker,2022,96,Drama,2.8,Amy Hesketh,Amy Hesketh,Bobby C. King
Vertical,2023,\N,Horror,5.7,Maryam Pirband,Rubén Arnaiz,Alberto Lopez El Real
Vertical,2023,\N,Horror,5.7,Maryam Pirband,Rubén Arnaiz,Angel Emiliano Santillan Soto
Vertical,2023,\N,Horror,5.7,Maryam Pirband,Rubén Arnaiz,Reza Moussavy
Vertical,2023,\N,Horror,5.7,Maryam Pirband,Rubén Arnaiz,Joshua Torresvalle
Vertical,2023,\N,Horror,5.7,Maryam Pirband,Rubén Arnaiz,Ricardo Dominguez
Vertical,2023,\N,Horror,5.7,Maryam Pirband,Rubén Arnaiz,Andrew Dasz
Vertical,2023,\N,Horror,5.7,Maryam Pirband,Rubén Arnaiz,Steven Dasz
The Dinner Parting,2022,95,Comedy,8.3,J.W. Andrew,Luke Allen Hackney,Taylor Nichols
The Dinner Parting,2022,95,Comedy,8.3,J.W. Andrew,Luke Allen Hackney,Phillip Andre Botello
The Dinner Parting,2022,95,Comedy,8.3,J.W. Andrew,Luke Allen Hackney,Russell Bradley Fenton
The Dinner Parting,2022,95,Comedy,8.3,J.W. Andrew,Luke Allen Hackney,William Sterling
Mistral Spatial,2023,102,Comedy,5.8,Marc-Antoine Lemire,Marc-Antoine Lemire,Samuel Brassard
Mistral Spatial,2023,102,Comedy,5.8,Marc-Antoine Lemire,Marc-Antoine Lemire,Alex Trahan
Mistral Spatial,2023,102,Comedy,5.8,Marc-Antoine Lemire,Marc-Antoine Lemire,Ted Pluviose
Mistral Spatial,2023,102,Comedy,5.8,Marc-Antoine Lemire,Marc-Antoine Lemire,Joseph Bellerose
Under Spanish Skies,2022,89,Drama,7.9,Nathan Buck,Nathan Buck,Philippe Brenninkmeyer
Under Spanish Skies,2022,89,Drama,7.9,Nathan Buck,Nathan Buck,Rafael Benjumea
Under Spanish Skies,2022,89,Drama,7.9,Nathan Buck,Nathan Buck,Mona Buck
Under Spanish Skies,2022,89,Drama,7.9,Nathan Buck,Nathan Buck,Amr Waked
Student Body,2022,89,Horror,4.4,Lee Ann Kurr,Lee Ann Kurr,Ty Trumbo
Student Body,2022,89,Horror,4.4,Lee Ann Kurr,Lee Ann Kurr,Anthony Keyvan
Student Body,2022,89,Horror,4.4,Lee Ann Kurr,Lee Ann Kurr,Christian Camargo
Student Body,2022,89,Horror,4.4,Lee Ann Kurr,Lee Ann Kurr,Marcel Sobczak
Student Body,2022,89,Horror,4.4,Lee Ann Kurr,Lee Ann Kurr,Austin Zajur
Student Body,2022,89,Horror,4.4,Lee Ann Kurr,Lee Ann Kurr,Maurice Hall
Alice,2022,100,Drama,5.6,Krystin Ver Linden,Krystin Ver Linden,Kenneth Farmer
Alice,2022,100,Drama,5.6,Krystin Ver Linden,Krystin Ver Linden,Craig Stark
Alice,2022,100,Drama,5.6,Krystin Ver Linden,Krystin Ver Linden,Common
Alice,2022,100,Drama,5.6,Krystin Ver Linden,Krystin Ver Linden,Jaxon Goldenberg
Alice,2022,100,Drama,5.6,Krystin Ver Linden,Krystin Ver Linden,Jonny Lee Miller
Alice,2022,100,Drama,5.6,Krystin Ver Linden,Krystin Ver Linden,Gaius Charles
Spaceman,2024,107,Drama,5.7,Johan Renck,Jaroslav Kalfar,Kunal Nayyar
Spaceman,2024,107,Drama,5.7,Johan Renck,Jaroslav Kalfar,Paul Dano
Spaceman,2024,107,Drama,5.7,Johan Renck,Jaroslav Kalfar,Petr Papánek
Spaceman,2024,107,Drama,5.7,Johan Renck,Jaroslav Kalfar,Marian Roden
Spaceman,2024,107,Drama,5.7,Johan Renck,Jaroslav Kalfar,Adam Sandler
Martinez,2023,93,Comedy,7.3,Lorena Padilla,Lorena Padilla,Humberto Busto
Martinez,2023,93,Comedy,7.3,Lorena Padilla,Lorena Padilla,Francisco Reyes
The Georgetown Project,2023,\N,Horror,6.0,M.A. Fortin,M.A. Fortin,Jayden Fontaine
The Georgetown Project,2023,\N,Horror,6.0,M.A. Fortin,M.A. Fortin,Russell Crowe
The Georgetown Project,2023,\N,Horror,6.0,M.A. Fortin,M.A. Fortin,Drew Broderick
The Georgetown Project,2023,\N,Horror,6.0,M.A. Fortin,M.A. Fortin,Gerrell Boney
The Georgetown Project,2023,\N,Horror,6.0,M.A. Fortin,M.A. Fortin,Chris TC Edge
Subject 101,2022,86,Horror,5.7,Tom Bewilogua,Tom Bewilogua,Antonio Wannek
Subject 101,2022,86,Horror,5.7,Tom Bewilogua,Tom Bewilogua,David Berton
Subject 101,2022,86,Horror,5.7,Tom Bewilogua,Tom Bewilogua,Guido Föhrweißer
Subject 101,2022,86,Horror,5.7,Tom Bewilogua,Tom Bewilogua,Cem-Ali Gültekin
Subject 101,2022,86,Horror,5.7,Tom Bewilogua,Tom Bewilogua,Guntbert Warns
Subject 101,2022,86,Horror,5.7,Tom Bewilogua,Tom Bewilogua,Youssef Maghrebi
Subject 101,2022,86,Horror,5.7,Tom Bewilogua,Tom Bewilogua,Neil Malik Abdullah
Fuzzy Head,2023,84,Thriller,4.4,Wendy McColm,Wendy McColm,Fred Melamed
Fuzzy Head,2023,84,Thriller,4.4,Wendy McColm,Wendy McColm,Tolliver
Fuzzy Head,2023,84,Thriller,4.4,Wendy McColm,Wendy McColm,Richard Riehle
Ranganayaka,2024,121,Comedy,3.2,Guruprasad,Guruprasad,Chaithra Kotoor
Ranganayaka,2024,121,Comedy,3.2,Guruprasad,Guruprasad,Yograj Bhat
Ranganayaka,2024,121,Comedy,3.2,Guruprasad,Guruprasad,Shatamarshan Avinash
Ranganayaka,2024,121,Comedy,3.2,Guruprasad,Guruprasad,Jaggesh
Ranganayaka,2024,121,Comedy,3.2,Guruprasad,Guruprasad,Guruprasad
Family Camp,2022,111,Comedy,4.9,Brian Cates,Brian Cates,Tommy Woodard
Family Camp,2022,111,Comedy,4.9,Brian Cates,Brian Cates,Mark Christopher Lawrence
Family Camp,2022,111,Comedy,4.9,Brian Cates,Brian Cates,Eddie James
Family Camp,2022,111,Comedy,4.9,Brian Cates,Brian Cates,Robert Amaya
Family Camp,2022,111,Comedy,4.9,Brian Cates,Brian Cates,Jacob M Wade
The Bridge,2022,\N,Drama,8.0,Ravindra Patil,Naresh Dudani,Neeraj Sood
The Bridge,2022,\N,Drama,8.0,Ravindra Patil,Naresh Dudani,Manveer Gurjar
The Bridge,2022,\N,Drama,8.0,Ravindra Patil,Naresh Dudani,Annu Kapoor
The Bridge,2022,\N,Drama,8.0,Ravindra Patil,Naresh Dudani,Chunky Pandey
The Bridge,2022,\N,Drama,8.0,Ravindra Patil,Naresh Dudani,Sanjay Mishra
The Bridge,2022,\N,Drama,8.0,Ravindra Patil,Naresh Dudani,Boman Irani
The Bridge,2022,\N,Drama,8.0,Ravindra Patil,Naresh Dudani,Shreyas Talpade
North of Normal,2022,90,Drama,6.5,Carly Stone,Cea Sunrise Person,James D'Arcy
North of Normal,2022,90,Drama,6.5,Carly Stone,Cea Sunrise Person,Robert Carlyle
North of Normal,2022,90,Drama,6.5,Carly Stone,Cea Sunrise Person,Benedict Samuel
North of Normal,2022,90,Drama,6.5,Carly Stone,Cea Sunrise Person,Kelly Penner
Soygun Oyunu: Büyük Vurgun,2022,120,Action,7.3,Basaran Simsek,Ali Dogancay,Ali Bahadir Bahar
Soygun Oyunu: Büyük Vurgun,2022,120,Action,7.3,Basaran Simsek,Ali Dogancay,Bülent Alkis
Soygun Oyunu: Büyük Vurgun,2022,120,Action,7.3,Basaran Simsek,Ali Dogancay,Sercan Badur
Soygun Oyunu: Büyük Vurgun,2022,120,Action,7.3,Basaran Simsek,Ali Dogancay,Gürkan Deniz Akhanli
Soygun Oyunu: Büyük Vurgun,2022,120,Action,7.3,Basaran Simsek,Ali Dogancay,Selim Bayraktar
Soygun Oyunu: Büyük Vurgun,2022,120,Action,7.3,Basaran Simsek,Ali Dogancay,Burak Sevinç
Soygun Oyunu: Büyük Vurgun,2022,120,Action,7.3,Basaran Simsek,Ali Dogancay,Okan Aysalar
A Lot of Nothing,2022,104,Comedy,4.4,Mo McRae,Sarah Kelly Kaplan,Justin Hartley
A Lot of Nothing,2022,104,Comedy,4.4,Mo McRae,Sarah Kelly Kaplan,Y'lan Noel
A Lot of Nothing,2022,104,Comedy,4.4,Mo McRae,Sarah Kelly Kaplan,Shamier Anderson
A Lot of Nothing,2022,104,Comedy,4.4,Mo McRae,Sarah Kelly Kaplan,Alex Aiono
A Lot of Nothing,2022,104,Comedy,4.4,Mo McRae,Sarah Kelly Kaplan,Andrew Leeds
The Haunting of Hell Hole Mine,2023,107,Horror,3.6,Paul Collett,Paul Collett,Tom Lister Jr.
The Haunting of Hell Hole Mine,2023,107,Horror,3.6,Paul Collett,Paul Collett,Paul Collett
The Haunting of Hell Hole Mine,2023,107,Horror,3.6,Paul Collett,Paul Collett,Jaedra DiGiammarino
The Haunting of Hell Hole Mine,2023,107,Horror,3.6,Paul Collett,Paul Collett,Rudy Youngblood
The Haunting of Hell Hole Mine,2023,107,Horror,3.6,Paul Collett,Paul Collett,Dave Fennoy
The Haunting of Hell Hole Mine,2023,107,Horror,3.6,Paul Collett,Paul Collett,Tom Sizemore
Shooter,2022,143,Action,6.9,Tru Makers,Gurpreet Bhullar,Pradeep Nawale
Shooter,2022,143,Action,6.9,Tru Makers,Gurpreet Bhullar,Billa Beniwal
Shooter,2022,143,Action,6.9,Tru Makers,Gurpreet Bhullar,Vadda Grewal
Shooter,2022,143,Action,6.9,Tru Makers,Gurpreet Bhullar,Jayy Randhawa
Shooter,2022,143,Action,6.9,Tru Makers,Gurpreet Bhullar,Yaar Narinder
Shooter,2022,143,Action,6.9,Tru Makers,Gurpreet Bhullar,Rabbi Kandola
Shooter,2022,143,Action,6.9,Tru Makers,Gurpreet Bhullar,Manna Mand
