title,year,runtime,genre,rating,director,writer,actorPrimaryName
Seneca,2023,112,Drama,5.0,Robert Schwentke,Robert Schwentke,John Malkovich
Seneca,2023,112,Drama,5.0,Robert Schwentke,Robert Schwentke,Samuel Finzi
Seneca,2023,112,Drama,5.0,Robert Schwentke,Robert Schwentke,Andrew Koji
Seneca,2023,112,Drama,5.0,Robert Schwentke,Robert Schwentke,Wolfram Koch
Seneca,2023,112,Drama,5.0,Robert Schwentke,Robert Schwentke,Tom Xander
Seneca,2023,112,Drama,5.0,Robert Schwentke,Robert Schwentke,Julian Sands
Seneca,2023,112,Drama,5.0,Robert Schwentke,Robert Schwentke,Louis Hofmann
Sneakerella,2022,112,Comedy,4.9,Elizabeth Allen Rosenbaum,Mindy Stern,Juan Chioran
Sneakerella,2022,112,Comedy,4.9,Elizabeth Allen Rosenbaum,Mindy Stern,Kolton Stewart
Sneakerella,2022,112,Comedy,4.9,Elizabeth Allen Rosenbaum,Mindy Stern,Bryan Terrell Clark
Sneakerella,2022,112,Comedy,4.9,Elizabeth Allen Rosenbaum,Mindy Stern,John Salley
Sneakerella,2022,112,Comedy,4.9,Elizabeth Allen Rosenbaum,Mindy Stern,Chosen Jacobs
The Greatest Beer Run Ever,2022,126,Drama,6.8,Peter Farrelly,Peter Farrelly,Kaye Tran
The Greatest Beer Run Ever,2022,126,Drama,6.8,Peter Farrelly,Peter Farrelly,Russell Crowe
The Greatest Beer Run Ever,2022,126,Drama,6.8,Peter Farrelly,Peter Farrelly,Archie Renaux
The Greatest Beer Run Ever,2022,126,Drama,6.8,Peter Farrelly,Peter Farrelly,Will Ropp
The Greatest Beer Run Ever,2022,126,Drama,6.8,Peter Farrelly,Peter Farrelly,Zac Efron
The Greatest Beer Run Ever,2022,126,Drama,6.8,Peter Farrelly,Peter Farrelly,Matt Cook
The Greatest Beer Run Ever,2022,126,Drama,6.8,Peter Farrelly,Peter Farrelly,Will Hochman
The Greatest Beer Run Ever,2022,126,Drama,6.8,Peter Farrelly,Peter Farrelly,Jake Picking
The Greatest Beer Run Ever,2022,126,Drama,6.8,Peter Farrelly,Peter Farrelly,Kyle Allen
Gaalipata 2,2022,151,Comedy,6.1,Yograj Bhat,Yograj Bhat,Ganesh
Gaalipata 2,2022,151,Comedy,6.1,Yograj Bhat,Yograj Bhat,Diganth
Gaalipata 2,2022,151,Comedy,6.1,Yograj Bhat,Yograj Bhat,Pawan Kumar
Gaalipata 2,2022,151,Comedy,6.1,Yograj Bhat,Yograj Bhat,Vihaan Ganesh
Gaalipata 2,2022,151,Comedy,6.1,Yograj Bhat,Yograj Bhat,Pratheek Reddy
Gaalipata 2,2022,151,Comedy,6.1,Yograj Bhat,Yograj Bhat,Anant Nag
Gaalipata 2,2022,151,Comedy,6.1,Yograj Bhat,Yograj Bhat,Jayanth Kaikini
Falling Into Place,2023,113,Drama,6.7,Aylin Tezel,Aylin Tezel,Samuel Anderson
Falling Into Place,2023,113,Drama,6.7,Aylin Tezel,Aylin Tezel,Michael Carter
Falling Into Place,2023,113,Drama,6.7,Aylin Tezel,Aylin Tezel,Chris Fulton
Falling Into Place,2023,113,Drama,6.7,Aylin Tezel,Aylin Tezel,Rory Fleck Byrne
Falling Into Place,2023,113,Drama,6.7,Aylin Tezel,Aylin Tezel,Kevin Mains
The Cow Who Sang a Song Into the Future,2022,98,Drama,5.9,Francisca Alegria,Francisca Alegria,Benjamin Soto
The Cow Who Sang a Song Into the Future,2022,98,Drama,5.9,Francisca Alegria,Francisca Alegria,Frederique Gudelj
The Cow Who Sang a Song Into the Future,2022,98,Drama,5.9,Francisca Alegria,Francisca Alegria,Maximiliano Jair
The Cow Who Sang a Song Into the Future,2022,98,Drama,5.9,Francisca Alegria,Francisca Alegria,Camilo Arancibia
The Cow Who Sang a Song Into the Future,2022,98,Drama,5.9,Francisca Alegria,Francisca Alegria,Enzo Ferrada Rosati
The Cow Who Sang a Song Into the Future,2022,98,Drama,5.9,Francisca Alegria,Francisca Alegria,Alfredo Castro
The Cow Who Sang a Song Into the Future,2022,98,Drama,5.9,Francisca Alegria,Francisca Alegria,Marcial Tagle
Inside the Yellow Cocoon Shell,2023,179,Drama,6.7,Thien An Pham,Thien An Pham,Le Phong Vu
Inside the Yellow Cocoon Shell,2023,179,Drama,6.7,Thien An Pham,Thien An Pham,Nguyen Han
Inside the Yellow Cocoon Shell,2023,179,Drama,6.7,Thien An Pham,Thien An Pham,Nguyen Van Lu'u
Inside the Yellow Cocoon Shell,2023,179,Drama,6.7,Thien An Pham,Thien An Pham,Vu Ngoc Manh
Inside the Yellow Cocoon Shell,2023,179,Drama,6.7,Thien An Pham,Thien An Pham,Manh Cuong Tran
Inside the Yellow Cocoon Shell,2023,179,Drama,6.7,Thien An Pham,Thien An Pham,Vu Trong Tuyen
Inside the Yellow Cocoon Shell,2023,179,Drama,6.7,Thien An Pham,Thien An Pham,Nguyen Thinh
American Cherry,2023,90,Drama,4.9,Marcella Cytrynowicz,Marcella Cytrynowicz,Hart Denton
American Cherry,2023,90,Drama,4.9,Marcella Cytrynowicz,Marcella Cytrynowicz,Matty Cardarople
American Cherry,2023,90,Drama,4.9,Marcella Cytrynowicz,Marcella Cytrynowicz,Audrey Holcomb
The Ones from Below,2022,83,Drama,7.1,Alejandro Quiroga,Alejandro Quiroga,César Bordón
The Ones from Below,2022,83,Drama,7.1,Alejandro Quiroga,Alejandro Quiroga,Luis Bredow
The Ones from Below,2022,83,Drama,7.1,Alejandro Quiroga,Alejandro Quiroga,Fernando Arze Echalar
The Ones from Below,2022,83,Drama,7.1,Alejandro Quiroga,Alejandro Quiroga,Ignacio Ruíz
The Ones from Below,2022,83,Drama,7.1,Alejandro Quiroga,Alejandro Quiroga,José Guillermo Acosta
The Ones from Below,2022,83,Drama,7.1,Alejandro Quiroga,Alejandro Quiroga,Daniel Larrazábal
The Ones from Below,2022,83,Drama,7.1,Alejandro Quiroga,Alejandro Quiroga,Jorge Quiroga
