title,year,runtime,genre,rating,director,writer,actorPrimaryName
Moe,2023,80,Comedy,4.0,José Luis Valenzuela,Evelina Fernández,Pepe Serna
Moe,2023,80,Comedy,4.0,José Luis Valenzuela,Evelina Fernández,Sal Lopez
Moe,2023,80,Comedy,4.0,José Luis Valenzuela,Evelina Fernández,Geoffrey Rivas
Moe,2023,80,Comedy,4.0,José Luis Valenzuela,Evelina Fernández,Richard Coca
Moe,2023,80,Comedy,4.0,José Luis Valenzuela,Evelina Fernández,Danny De La Paz
Transe,2022,93,Drama,6.5,Anne Pinheiro Guimarães,Anne Pinheiro Guimarães,Matheus Macena
Transe,2022,93,Drama,6.5,Anne Pinheiro Guimarães,Anne Pinheiro Guimarães,Ravel Andrade
Transe,2022,93,Drama,6.5,Anne Pinheiro Guimarães,Anne Pinheiro Guimarães,Johnny Massaro
All Fun and Games,2023,76,Horror,4.3,Eren Celeboglu,J.J. Braider,Benjamin Evan Ainsworth
All Fun and Games,2023,76,Horror,4.3,Eren Celeboglu,J.J. Braider,Matthew Lupu
All Fun and Games,2023,76,Horror,4.3,Eren Celeboglu,J.J. Braider,Erik Athavale
All Fun and Games,2023,76,Horror,4.3,Eren Celeboglu,J.J. Braider,Asa Butterfield
All Fun and Games,2023,76,Horror,4.3,Eren Celeboglu,J.J. Braider,Kolton Stewart
Shut In,2022,89,Thriller,5.8,D.J. Caruso,Melanie Toast,Jake Horowitz
Shut In,2022,89,Thriller,5.8,D.J. Caruso,Melanie Toast,Vincent Gallo
Shut In,2022,89,Thriller,5.8,D.J. Caruso,Melanie Toast,Aidan Steimer
Bones and All,2022,131,Drama,6.8,Luca Guadagnino,David Kajganich,Sean Bridgers
Bones and All,2022,131,Drama,6.8,Luca Guadagnino,David Kajganich,André Holland
Bones and All,2022,131,Drama,6.8,Luca Guadagnino,David Kajganich,Ellie Parker
Bones and All,2022,131,Drama,6.8,Luca Guadagnino,David Kajganich,Timothée Chalamet
Bones and All,2022,131,Drama,6.8,Luca Guadagnino,David Kajganich,Mark Rylance
Gap Weekend,2022,83,Comedy,7.8,Todd Norwood,Todd Norwood,Robb Padgett
Gap Weekend,2022,83,Comedy,7.8,Todd Norwood,Todd Norwood,David Shofner
Gap Weekend,2022,83,Comedy,7.8,Todd Norwood,Todd Norwood,Bryan Bertone
Gap Weekend,2022,83,Comedy,7.8,Todd Norwood,Todd Norwood,Art Hall
Gap Weekend,2022,83,Comedy,7.8,Todd Norwood,Todd Norwood,Christopher Blaauw
Sleeping Beauties,2023,90,Horror,3.6,Stuart Simpson,Stuart Simpson,Atticus Benjsson
Sleeping Beauties,2023,90,Horror,3.6,Stuart Simpson,Stuart Simpson,Jeffery Richards
Sleeping Beauties,2023,90,Horror,3.6,Stuart Simpson,Stuart Simpson,Mark Adams
Sleeping Beauties,2023,90,Horror,3.6,Stuart Simpson,Stuart Simpson,Stuart Simpson
Sleeping Beauties,2023,90,Horror,3.6,Stuart Simpson,Stuart Simpson,Aston Elliot
Anu,2023,80,Drama,6.8,Sudeshna Sen,Anjali Banerjee,Tyler Saum
Anu,2023,80,Drama,6.8,Sudeshna Sen,Anjali Banerjee,Abhijeet Rane
Anu,2023,80,Drama,6.8,Sudeshna Sen,Anjali Banerjee,Lowell Deo
Anu,2023,80,Drama,6.8,Sudeshna Sen,Anjali Banerjee,Hudson Bruener
Anu,2023,80,Drama,6.8,Sudeshna Sen,Anjali Banerjee,Akash Anandam
Love Again,2023,104,Comedy,5.9,Jim Strouse,Jim Strouse,Omid Djalili
Love Again,2023,104,Comedy,5.9,Jim Strouse,Jim Strouse,Nick Jonas
Love Again,2023,104,Comedy,5.9,Jim Strouse,Jim Strouse,Russell Tovey
Love Again,2023,104,Comedy,5.9,Jim Strouse,Jim Strouse,Sam Heughan
Love Again,2023,104,Comedy,5.9,Jim Strouse,Jim Strouse,Steve Oram
Evil Lurks,2023,104,Horror,5.6,Aaron Hawkins,Aaron Hawkins,Larry Biela
Evil Lurks,2023,104,Horror,5.6,Aaron Hawkins,Aaron Hawkins,Bobby Bozek
Evil Lurks,2023,104,Horror,5.6,Aaron Hawkins,Aaron Hawkins,David Chavez
Evil Lurks,2023,104,Horror,5.6,Aaron Hawkins,Aaron Hawkins,Joe DeBartolo
Evil Lurks,2023,104,Horror,5.6,Aaron Hawkins,Aaron Hawkins,Chris Shern
Nightsiren,2022,106,Drama,6.0,Tereza Nvotová,Barbora Namerova,Marek Geisberg
Nightsiren,2022,106,Drama,6.0,Tereza Nvotová,Barbora Namerova,Matus Rysan
Nightsiren,2022,106,Drama,6.0,Tereza Nvotová,Barbora Namerova,Peter Ondrejicka
Nightsiren,2022,106,Drama,6.0,Tereza Nvotová,Barbora Namerova,Noel Czuczor
Brave the Dark,2023,\N,Drama,8.2,Damian Harris,Dale G. Bradley,Tobias Segal
Brave the Dark,2023,\N,Drama,8.2,Damian Harris,Dale G. Bradley,Tobias Segal
Brave the Dark,2023,\N,Drama,8.2,Damian Harris,Dale G. Bradley,Jared Harris
Brave the Dark,2023,\N,Drama,8.2,Damian Harris,Dale G. Bradley,Nicholas Hamilton
Brave the Dark,2023,\N,Drama,8.2,Damian Harris,Dale G. Bradley,Will Price
Brave the Dark,2023,\N,Drama,8.2,Damian Harris,Dale G. Bradley,Jamie Harris
Brave the Dark,2023,\N,Drama,8.2,Damian Harris,Dale G. Bradley,Michael Harrah
Brave the Dark,2023,\N,Drama,8.2,Damian Harris,Dale G. Bradley,Johnath Davis
Brave the Dark,2023,\N,Drama,8.2,Damian Harris,Dale G. Bradley,Martin Jarvis
Brave the Dark,2023,\N,Drama,8.2,Damian Harris,Dale G. Bradley,Cole Tristan Murphy
Jayeshbhai Jordaar,2022,121,Comedy,6.0,Divyang Thakkar,Anckur Chaudhry,Jayesh Barbhaya
Jayeshbhai Jordaar,2022,121,Comedy,6.0,Divyang Thakkar,Anckur Chaudhry,Sameer Boxer
Jayeshbhai Jordaar,2022,121,Comedy,6.0,Divyang Thakkar,Anckur Chaudhry,Jia Vaidya
Jayeshbhai Jordaar,2022,121,Comedy,6.0,Divyang Thakkar,Anckur Chaudhry,Pratik Nanda
Jayeshbhai Jordaar,2022,121,Comedy,6.0,Divyang Thakkar,Anckur Chaudhry,Puneet Issar
Jayeshbhai Jordaar,2022,121,Comedy,6.0,Divyang Thakkar,Anckur Chaudhry,Boman Irani
Jayeshbhai Jordaar,2022,121,Comedy,6.0,Divyang Thakkar,Anckur Chaudhry,Ranveer Singh
Uman - The Perfect Man,2022,86,Comedy,4.6,Xavier Durringer,Kareen Alyanakian,Pierre-François Martin-Laval
Uman - The Perfect Man,2022,86,Comedy,4.6,Xavier Durringer,Kareen Alyanakian,Martin Gillis
Uman - The Perfect Man,2022,86,Comedy,4.6,Xavier Durringer,Kareen Alyanakian,Didier Bourdon
Uman - The Perfect Man,2022,86,Comedy,4.6,Xavier Durringer,Kareen Alyanakian,Bernard Le Coq
Uman - The Perfect Man,2022,86,Comedy,4.6,Xavier Durringer,Kareen Alyanakian,Philippe Duquesne
Something Is About to Happen,2023,122,Horror,6.0,Antonio Méndez Esparza,Juan José Millás,Federico Pérez Rey
Something Is About to Happen,2023,122,Horror,6.0,Antonio Méndez Esparza,Juan José Millás,Rodrigo Poisón
Something Is About to Happen,2023,122,Horror,6.0,Antonio Méndez Esparza,Juan José Millás,José Luis Torrijo
Something Is About to Happen,2023,122,Horror,6.0,Antonio Méndez Esparza,Juan José Millás,Mariano Llorente
Something Is About to Happen,2023,122,Horror,6.0,Antonio Méndez Esparza,Juan José Millás,Iñigo de la Iglesia
Something Is About to Happen,2023,122,Horror,6.0,Antonio Méndez Esparza,Juan José Millás,Manuel de Blas
Something Is About to Happen,2023,122,Horror,6.0,Antonio Méndez Esparza,Juan José Millás,Ignacio Ysasi
Lecciones para canallas,2022,104,Comedy,5.3,Gustavo Moheno,Gustavo Moheno,Gustavo Egelhaaf
Lecciones para canallas,2022,104,Comedy,5.3,Gustavo Moheno,Gustavo Moheno,Joaquín Cosio
Lecciones para canallas,2022,104,Comedy,5.3,Gustavo Moheno,Gustavo Moheno,Ricardo Polanco
Lecciones para canallas,2022,104,Comedy,5.3,Gustavo Moheno,Gustavo Moheno,Hernan Del Riego
Lecciones para canallas,2022,104,Comedy,5.3,Gustavo Moheno,Gustavo Moheno,Orlando Moguel
Lecciones para canallas,2022,104,Comedy,5.3,Gustavo Moheno,Gustavo Moheno,Marius Biegai
Decline,2022,86,Horror,4.3,Sam Mason-Bell,Ryan Carter,Jackson Batchelor
Decline,2022,86,Horror,4.3,Sam Mason-Bell,Ryan Carter,Spencer Craig
