title,year,runtime,genre,rating,director,writer,actorPrimaryName
Darkling,2022,104,Drama,6.8,Dusan Milic,Dusan Milic,Flavio Parenti
Darkling,2022,104,Drama,6.8,Dusan Milic,Dusan Milic,Nikola-Kole Angelovski
Darkling,2022,104,Drama,6.8,Dusan Milic,Dusan Milic,Darren Pettie
Darkling,2022,104,Drama,6.8,Dusan Milic,Dusan Milic,Nikola Rakocevic
Darkling,2022,104,Drama,6.8,Dusan Milic,Dusan Milic,Slavko Stimac
Darkling,2022,104,Drama,6.8,Dusan Milic,Dusan Milic,Nikola Kent
Darkling,2022,104,Drama,6.8,Dusan Milic,Dusan Milic,Slavisa Curovic
Washington's Armor,2022,98,Action,6.1,Tammy Lane,Andrew Librizzi,Bryce Barfield
Washington's Armor,2022,98,Action,6.1,Tammy Lane,Andrew Librizzi,Adelaide Aglio
Washington's Armor,2022,98,Action,6.1,Tammy Lane,Andrew Librizzi,Jon Bureman
Washington's Armor,2022,98,Action,6.1,Tammy Lane,Andrew Librizzi,Jeremy Gauna
Washington's Armor,2022,98,Action,6.1,Tammy Lane,Andrew Librizzi,Alex Ryan Brown
Washington's Armor,2022,98,Action,6.1,Tammy Lane,Andrew Librizzi,Miguel Andrews
Washington's Armor,2022,98,Action,6.1,Tammy Lane,Andrew Librizzi,Willie Mellina
Washington's Armor,2022,98,Action,6.1,Tammy Lane,Andrew Librizzi,Tim Perez-Ross
Washington's Armor,2022,98,Action,6.1,Tammy Lane,Andrew Librizzi,Stephen Bouldin
Satria Dewa: Gatotkaca,2022,129,Action,5.3,Hanung Bramantyo,Rahabi Mandra,Cecep Arif Rahman
Satria Dewa: Gatotkaca,2022,129,Action,5.3,Hanung Bramantyo,Rahabi Mandra,Yayan Ruhian
Satria Dewa: Gatotkaca,2022,129,Action,5.3,Hanung Bramantyo,Rahabi Mandra,Edward Akbar
Satria Dewa: Gatotkaca,2022,129,Action,5.3,Hanung Bramantyo,Rahabi Mandra,Edward Akbar
Satria Dewa: Gatotkaca,2022,129,Action,5.3,Hanung Bramantyo,Rahabi Mandra,Ali Fikry
Satria Dewa: Gatotkaca,2022,129,Action,5.3,Hanung Bramantyo,Rahabi Mandra,Jerome Kurnia
Satria Dewa: Gatotkaca,2022,129,Action,5.3,Hanung Bramantyo,Rahabi Mandra,Rizky Nazar
Satria Dewa: Gatotkaca,2022,129,Action,5.3,Hanung Bramantyo,Rahabi Mandra,Rizky Nazar
Satria Dewa: Gatotkaca,2022,129,Action,5.3,Hanung Bramantyo,Rahabi Mandra,Omar Daniel
Fate of the Night,2022,71,Drama,4.5,Thibul Nettle,Matthew Carlson,Liam Clarke
Fate of the Night,2022,71,Drama,4.5,Thibul Nettle,Matthew Carlson,Nick Buckland
Fate of the Night,2022,71,Drama,4.5,Thibul Nettle,Matthew Carlson,Thibul Nettle
Fate of the Night,2022,71,Drama,4.5,Thibul Nettle,Matthew Carlson,Mark Healy
Expired,2022,102,Action,3.7,Ivan Sen,Ivan Sen,Shilah Sen
Expired,2022,102,Action,3.7,Ivan Sen,Ivan Sen,Ryan Kwanten
Expired,2022,102,Action,3.7,Ivan Sen,Ivan Sen,Franck Matour
Expired,2022,102,Action,3.7,Ivan Sen,Ivan Sen,Andrew Ng
Expired,2022,102,Action,3.7,Ivan Sen,Ivan Sen,David Field
Expired,2022,102,Action,3.7,Ivan Sen,Ivan Sen,Michael Chan
Expired,2022,102,Action,3.7,Ivan Sen,Ivan Sen,Shinji Ikefuji
Stars at Noon,2022,135,Drama,5.5,Claire Denis,Denis Johnson,Sebastian Donoso
Stars at Noon,2022,135,Drama,5.5,Claire Denis,Denis Johnson,Danny Ramirez
Stars at Noon,2022,135,Drama,5.5,Claire Denis,Denis Johnson,Joe Alwyn
Stars at Noon,2022,135,Drama,5.5,Claire Denis,Denis Johnson,Benny Safdie
