title,year,runtime,genre,rating,director,writer,actorPrimaryName
September,2023,82,Horror,7.0,Georgi Fomin,Georgi Fomin,Ivan Blindar
September,2023,82,Horror,7.0,Georgi Fomin,Georgi Fomin,Oleg Primogenov
September,2023,82,Horror,7.0,Georgi Fomin,Georgi Fomin,Mikhail Zhonin
September,2023,82,Horror,7.0,Georgi Fomin,Georgi Fomin,Yuriy Dyachenko
September,2023,82,Horror,7.0,Georgi Fomin,Georgi Fomin,Mykola Veresen
The Christmas Spirit,2023,85,Comedy,4.7,Bennet De Brabandere,Bennet De Brabandere,Zion Forrest Lee
The Christmas Spirit,2023,85,Comedy,4.7,Bennet De Brabandere,Bennet De Brabandere,Nicolas Grimes
The Christmas Spirit,2023,85,Comedy,4.7,Bennet De Brabandere,Bennet De Brabandere,Alexander Nunez
The Christmas Spirit,2023,85,Comedy,4.7,Bennet De Brabandere,Bennet De Brabandere,Chris Handfield
The Christmas Spirit,2023,85,Comedy,4.7,Bennet De Brabandere,Bennet De Brabandere,Brad Austin
The Christmas Spirit,2023,85,Comedy,4.7,Bennet De Brabandere,Bennet De Brabandere,Anthony Christian Potenza
The Christmas Spirit,2023,85,Comedy,4.7,Bennet De Brabandere,Bennet De Brabandere,Jordan Kronis
Paint It Gold,2023,95,Comedy,5.7,Rémi Bezançon,Vanessa Portal,Michel Nabokoff
Paint It Gold,2023,95,Comedy,5.7,Rémi Bezançon,Vanessa Portal,Vincent Macaigne
Paint It Gold,2023,95,Comedy,5.7,Rémi Bezançon,Vanessa Portal,Bouli Lanners
Paint It Gold,2023,95,Comedy,5.7,Rémi Bezançon,Vanessa Portal,Bastien Ughetto
Paint It Gold,2023,95,Comedy,5.7,Rémi Bezançon,Vanessa Portal,Philippe Résimont
The Nun II,2023,110,Horror,5.6,Michael Chaves,Ian Goldberg,Anouk Darwin Homewood
The Nun II,2023,110,Horror,5.6,Michael Chaves,Ian Goldberg,Jonas Bloquet
The Nun II,2023,110,Horror,5.6,Michael Chaves,Ian Goldberg,Peter Hudson
Stroke of Luck,2022,81,Comedy,4.9,Christian Frelinghuysen,Christian Frelinghuysen,Peter Fusting
Stroke of Luck,2022,81,Comedy,4.9,Christian Frelinghuysen,Christian Frelinghuysen,Patrick Lescarbeau
Stroke of Luck,2022,81,Comedy,4.9,Christian Frelinghuysen,Christian Frelinghuysen,Thomas Frelinghuysen
Stroke of Luck,2022,81,Comedy,4.9,Christian Frelinghuysen,Christian Frelinghuysen,Kyle Derosiers
Stroke of Luck,2022,81,Comedy,4.9,Christian Frelinghuysen,Christian Frelinghuysen,Ken Cheeseman
Stroke of Luck,2022,81,Comedy,4.9,Christian Frelinghuysen,Christian Frelinghuysen,John Popper
Stroke of Luck,2022,81,Comedy,4.9,Christian Frelinghuysen,Christian Frelinghuysen,Kiel Kennedy
Doi Boy,2023,98,Drama,5.5,Nontawat Numbenchapol,Chanchana Homsap,Arak Amornsupasiri
Doi Boy,2023,98,Drama,5.5,Nontawat Numbenchapol,Chanchana Homsap,Awat Ratanapintha
Doi Boy,2023,98,Drama,5.5,Nontawat Numbenchapol,Chanchana Homsap,Bhumibhat Thavornsiri
Spellbound,2023,\N,Comedy,5.0,Alex Ross,David L. Corrigan,Michael Tower
Spellbound,2023,\N,Comedy,5.0,Alex Ross,David L. Corrigan,Scott Stewart
Spellbound,2023,\N,Comedy,5.0,Alex Ross,David L. Corrigan,David L. Corrigan
To Catch a Killer,2023,119,Action,6.6,Damián Szifron,Damián Szifron,Richard Zeman
To Catch a Killer,2023,119,Action,6.6,Damián Szifron,Damián Szifron,Jason Cavalier
To Catch a Killer,2023,119,Action,6.6,Damián Szifron,Damián Szifron,Jovan Adepo
To Catch a Killer,2023,119,Action,6.6,Damián Szifron,Damián Szifron,Darcy Laurie
To Catch a Killer,2023,119,Action,6.6,Damián Szifron,Damián Szifron,Mark Camacho
To Catch a Killer,2023,119,Action,6.6,Damián Szifron,Damián Szifron,Dusan Dukic
To Catch a Killer,2023,119,Action,6.6,Damián Szifron,Damián Szifron,Nick Walker
To Catch a Killer,2023,119,Action,6.6,Damián Szifron,Damián Szifron,Ben Mendelsohn
To Catch a Killer,2023,119,Action,6.6,Damián Szifron,Damián Szifron,Ralph Ineson
John Wick: Chapter 4,2023,169,Action,7.7,Chad Stahelski,Shay Hatten,Lance Reddick
John Wick: Chapter 4,2023,169,Action,7.7,Chad Stahelski,Shay Hatten,Donnie Yen
John Wick: Chapter 4,2023,169,Action,7.7,Chad Stahelski,Shay Hatten,Laurence Fishburne
John Wick: Chapter 4,2023,169,Action,7.7,Chad Stahelski,Shay Hatten,Clancy Brown
