title,year,runtime,genre,rating,director,writer,actorPrimaryName
The Flash,2023,144,Action,6.7,Andy Muschietti,Christina Hodson,Michael Keaton
The Flash,2023,144,Action,6.7,Andy Muschietti,Christina Hodson,Michael Keaton
The Flash,2023,144,Action,6.7,Andy Muschietti,Christina Hodson,Michael Shannon
The Flash,2023,144,Action,6.7,Andy Muschietti,Christina Hodson,Ezra Miller
The Flash,2023,144,Action,6.7,Andy Muschietti,Christina Hodson,Ezra Miller
The Flash,2023,144,Action,6.7,Andy Muschietti,Christina Hodson,Jeremy Irons
The Flash,2023,144,Action,6.7,Andy Muschietti,Christina Hodson,Ron Livingston
Marry Me,2022,112,Comedy,6.1,Kat Coiro,John Rogers,Khalil Middleton
Marry Me,2022,112,Comedy,6.1,Kat Coiro,John Rogers,Owen Wilson
Marry Me,2022,112,Comedy,6.1,Kat Coiro,John Rogers,John Bradley
Marry Me,2022,112,Comedy,6.1,Kat Coiro,John Rogers,Maluma
Infinity Pool,2023,117,Horror,6.0,Brandon Cronenberg,Brandon Cronenberg,Alexander Skarsgård
Infinity Pool,2023,117,Horror,6.0,Brandon Cronenberg,Brandon Cronenberg,Zijad Gracic
Infinity Pool,2023,117,Horror,6.0,Brandon Cronenberg,Brandon Cronenberg,Thomas Kretschmann
Infinity Pool,2023,117,Horror,6.0,Brandon Cronenberg,Brandon Cronenberg,Jalil Lespert
Infinity Pool,2023,117,Horror,6.0,Brandon Cronenberg,Brandon Cronenberg,Alan Katic
Infinity Pool,2023,117,Horror,6.0,Brandon Cronenberg,Brandon Cronenberg,Adam Boncz
Infinity Pool,2023,117,Horror,6.0,Brandon Cronenberg,Brandon Cronenberg,Amar Bukvic
Pada,2022,130,Drama,7.8,Kamal K.M.,Kamal K.M.,Dileesh Pothan
Pada,2022,130,Drama,7.8,Kamal K.M.,Kamal K.M.,Nithin George
Pada,2022,130,Drama,7.8,Kamal K.M.,Kamal K.M.,Sunil Annur
Pada,2022,130,Drama,7.8,Kamal K.M.,Kamal K.M.,Shine Tom Chacko
Pada,2022,130,Drama,7.8,Kamal K.M.,Kamal K.M.,James Eliya
Pada,2022,130,Drama,7.8,Kamal K.M.,Kamal K.M.,Kunchacko Boban
Pada,2022,130,Drama,7.8,Kamal K.M.,Kamal K.M.,Master Davinchi
Pada,2022,130,Drama,7.8,Kamal K.M.,Kamal K.M.,Joju George
Pada,2022,130,Drama,7.8,Kamal K.M.,Kamal K.M.,Bitto Davis
Pada,2022,130,Drama,7.8,Kamal K.M.,Kamal K.M.,Vinayakan
The Clearing,2024,\N,Drama,4.2,Stephanie Trainer,Karl Nykwest,Andy Pivarnik
The Clearing,2024,\N,Drama,4.2,Stephanie Trainer,Karl Nykwest,Tom Mirth
The Clearing,2024,\N,Drama,4.2,Stephanie Trainer,Karl Nykwest,David Bielewicz
The Clearing,2024,\N,Drama,4.2,Stephanie Trainer,Karl Nykwest,James Quinn
Unbound Evil,2022,82,Horror,6.8,Vjekoslav Katusin,Konstantin Georgiou,Hubertus Geller
Unbound Evil,2022,82,Horror,6.8,Vjekoslav Katusin,Konstantin Georgiou,Antonio Scarpa
Unbound Evil,2022,82,Horror,6.8,Vjekoslav Katusin,Konstantin Georgiou,Alessio Medas
Unbound Evil,2022,82,Horror,6.8,Vjekoslav Katusin,Konstantin Georgiou,Morad Azzaaoui
Unbound Evil,2022,82,Horror,6.8,Vjekoslav Katusin,Konstantin Georgiou,Pat Wind
Unbound Evil,2022,82,Horror,6.8,Vjekoslav Katusin,Konstantin Georgiou,Costas Mandylor
Unbound Evil,2022,82,Horror,6.8,Vjekoslav Katusin,Konstantin Georgiou,Vjekoslav Katusin
Waking Up Dead,2022,78,Comedy,6.5,Terracino,Terracino,Gabriel Sousa
Waking Up Dead,2022,78,Comedy,6.5,Terracino,Terracino,Vincent De Paul
Waking Up Dead,2022,78,Comedy,6.5,Terracino,Terracino,Ed Morrone
The Storied Life of A.J. Fikry,2022,105,Comedy,6.5,Hans Canosa,Gabrielle Zevin,David Arquette
The Storied Life of A.J. Fikry,2022,105,Comedy,6.5,Hans Canosa,Gabrielle Zevin,Kunal Nayyar
The Storied Life of A.J. Fikry,2022,105,Comedy,6.5,Hans Canosa,Gabrielle Zevin,Nate Richman
The Storied Life of A.J. Fikry,2022,105,Comedy,6.5,Hans Canosa,Gabrielle Zevin,Alexander Pobutsky
The Storied Life of A.J. Fikry,2022,105,Comedy,6.5,Hans Canosa,Gabrielle Zevin,Chase Ramsey
The Storied Life of A.J. Fikry,2022,105,Comedy,6.5,Hans Canosa,Gabrielle Zevin,Scott Foley
Dhokha,2022,122,Drama,6.2,Kookie Gulati,Kookie Gulati,Santosh Patil
Dhokha,2022,122,Drama,6.2,Kookie Gulati,Kookie Gulati,Sharad Jadhav
Dhokha,2022,122,Drama,6.2,Kookie Gulati,Kookie Gulati,Aaloak Kapoor
Dhokha,2022,122,Drama,6.2,Kookie Gulati,Kookie Gulati,Madhavan
Dhokha,2022,122,Drama,6.2,Kookie Gulati,Kookie Gulati,Vikram Sahu
Dhokha,2022,122,Drama,6.2,Kookie Gulati,Kookie Gulati,Darshan Kumaar
Dhokha,2022,122,Drama,6.2,Kookie Gulati,Kookie Gulati,Ajoy Chakraborty
Dhokha,2022,122,Drama,6.2,Kookie Gulati,Kookie Gulati,Aparshakti Khurana
Tarrac,2022,96,Drama,7.8,Declan Recks,Eugene O'Brien,Paul Egan
Tarrac,2022,96,Drama,7.8,Declan Recks,Eugene O'Brien,Cillian O'Gairbhi
Tarrac,2022,96,Drama,7.8,Declan Recks,Eugene O'Brien,Lorcan Cranitch
Tarrac,2022,96,Drama,7.8,Declan Recks,Eugene O'Brien,David Coffey Weakley
Tarrac,2022,96,Drama,7.8,Declan Recks,Eugene O'Brien,Sam Ireland
Tarrac,2022,96,Drama,7.8,Declan Recks,Eugene O'Brien,Liam Heffernan
"Te dua, I Swear",2023,\N,Comedy,7.6,Marjan Gavrilovski,Nikola Kuzelov,Vasko Kostovski
"Te dua, I Swear",2023,\N,Comedy,7.6,Marjan Gavrilovski,Nikola Kuzelov,Ismail Kasumi
"Te dua, I Swear",2023,\N,Comedy,7.6,Marjan Gavrilovski,Nikola Kuzelov,Igor Dzambazov
"Te dua, I Swear",2023,\N,Comedy,7.6,Marjan Gavrilovski,Nikola Kuzelov,Atanas Atanasovski
"Te dua, I Swear",2023,\N,Comedy,7.6,Marjan Gavrilovski,Nikola Kuzelov,Flakron Aliu
"Te dua, I Swear",2023,\N,Comedy,7.6,Marjan Gavrilovski,Nikola Kuzelov,Vlado Jovanovski
"Te dua, I Swear",2023,\N,Comedy,7.6,Marjan Gavrilovski,Nikola Kuzelov,Mirsad Abazi
The Price to Pay,2022,\N,Drama,6.6,Lorenzo Cunningham,Lorenzo Cunningham,Tony Guerrero
The Price to Pay,2022,\N,Drama,6.6,Lorenzo Cunningham,Lorenzo Cunningham,Morris R. Austin
The Price to Pay,2022,\N,Drama,6.6,Lorenzo Cunningham,Lorenzo Cunningham,Zack Whyel
The Price to Pay,2022,\N,Drama,6.6,Lorenzo Cunningham,Lorenzo Cunningham,Aaron Romano
The Price to Pay,2022,\N,Drama,6.6,Lorenzo Cunningham,Lorenzo Cunningham,Ignacio Arreola-Vidal
The Price to Pay,2022,\N,Drama,6.6,Lorenzo Cunningham,Lorenzo Cunningham,Clay Stokes
Diary of a Spy,2022,99,Drama,4.4,Adam Christian Clark,Adam Christian Clark,Haithem Badrani
Diary of a Spy,2022,99,Drama,4.4,Adam Christian Clark,Adam Christian Clark,Casey Adams
Diary of a Spy,2022,99,Drama,4.4,Adam Christian Clark,Adam Christian Clark,Fred Melamed
Diary of a Spy,2022,99,Drama,4.4,Adam Christian Clark,Adam Christian Clark,Jon Lindstrom
Diary of a Spy,2022,99,Drama,4.4,Adam Christian Clark,Adam Christian Clark,Reece Noi
Surprise Trip,2022,97,Comedy,4.3,Roberto Baeli,Roberto Baeli,Totò Onnis
Surprise Trip,2022,97,Comedy,4.3,Roberto Baeli,Roberto Baeli,Pietro Genuardi
Surprise Trip,2022,97,Comedy,4.3,Roberto Baeli,Roberto Baeli,Lino Banfi
Surprise Trip,2022,97,Comedy,4.3,Roberto Baeli,Roberto Baeli,Paolo Sassanelli
Surprise Trip,2022,97,Comedy,4.3,Roberto Baeli,Roberto Baeli,Ronn Moss
Surprise Trip,2022,97,Comedy,4.3,Roberto Baeli,Roberto Baeli,Yoon C. Joyce
Surprise Trip,2022,97,Comedy,4.3,Roberto Baeli,Roberto Baeli,Fabio Giacobbe
Santa Muerte,2022,\N,Thriller,8.1,Alek Gearhart,Alek Gearhart,Wayne Allen
Santa Muerte,2022,\N,Thriller,8.1,Alek Gearhart,Alek Gearhart,Manuel Eduardo Ramirez
Santa Muerte,2022,\N,Thriller,8.1,Alek Gearhart,Alek Gearhart,Mario g Valdez
Santa Muerte,2022,\N,Thriller,8.1,Alek Gearhart,Alek Gearhart,Jeff Prater
Santa Muerte,2022,\N,Thriller,8.1,Alek Gearhart,Alek Gearhart,Dominique Marsell
