title,year,runtime,genre,rating,director,writer,actorPrimaryName
Power Alley,2023,99,Drama,6.8,Lillah Halla,Lillah Halla,Rômulo Braga
Power Alley,2023,99,Drama,6.8,Lillah Halla,Lillah Halla,Loro Bardot
Song Without Words,2022,83,Drama,6.9,Bramwell Noah,Bramwell Noah,Jason Browning
Song Without Words,2022,83,Drama,6.9,Bramwell Noah,Bramwell Noah,Naoyuki Honda
Song Without Words,2022,83,Drama,6.9,Bramwell Noah,Bramwell Noah,Christien Dariol
Song Without Words,2022,83,Drama,6.9,Bramwell Noah,Bramwell Noah,Bralen Chatfield
Song Without Words,2022,83,Drama,6.9,Bramwell Noah,Bramwell Noah,Jay Fazah
Song Without Words,2022,83,Drama,6.9,Bramwell Noah,Bramwell Noah,Anthony Hendrie
Song Without Words,2022,83,Drama,6.9,Bramwell Noah,Bramwell Noah,Kai Bathe
The Lady from the Sea,2023,\N,Drama,8.8,Leon Mitchell,Henrik Ibsen,Oscar Syran
The Lady from the Sea,2023,\N,Drama,8.8,Leon Mitchell,Henrik Ibsen,Ash Robbo
The Lady from the Sea,2023,\N,Drama,8.8,Leon Mitchell,Henrik Ibsen,Kristof Wolf
The Lady from the Sea,2023,\N,Drama,8.8,Leon Mitchell,Henrik Ibsen,Luca Molinari
The Lady from the Sea,2023,\N,Drama,8.8,Leon Mitchell,Henrik Ibsen,Anders Semb
The Lady from the Sea,2023,\N,Drama,8.8,Leon Mitchell,Henrik Ibsen,Elliot Cable
Pondicherry,2022,113,Drama,6.9,Sachin Kundalkar,Sachin Kundalkar,Mahesh Manjrekar
Pondicherry,2022,113,Drama,6.9,Sachin Kundalkar,Sachin Kundalkar,Vaibhav Tatwawadi
Pondicherry,2022,113,Drama,6.9,Sachin Kundalkar,Sachin Kundalkar,Tanmay Kulkarni
Immenhof - Das große Versprechen,2022,100,Drama,5.6,Sharon von Wietersheim,Sharon von Wietersheim,Ludger Pistor
Immenhof - Das große Versprechen,2022,100,Drama,5.6,Sharon von Wietersheim,Sharon von Wietersheim,Heiner Lauterbach
Immenhof - Das große Versprechen,2022,100,Drama,5.6,Sharon von Wietersheim,Sharon von Wietersheim,Rafael Gareisen
Immenhof - Das große Versprechen,2022,100,Drama,5.6,Sharon von Wietersheim,Sharon von Wietersheim,Torben Liebrecht
