movie_id,movie_name,year,genre,description,director,director_id,star,star_id
tt9114286,Black Panther: Wakanda Forever,2022,action,The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.,Ryan Coogler,/name/nm3363032/,"Letitia Wright, 
Lupita Nyong'o, 
Danai Gurira, 
Winston Duke","/name/nm4004793/,/name/nm2143282/,/name/nm1775091/,/name/nm6328300/"
tt1630029,Avatar: The Way of Water,2022,action,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.",James Cameron,/name/nm0000116/,"Sam Worthington, 
Zoe Saldana, 
Sigourney Weaver, 
Stephen Lang","/name/nm0941777/,/name/nm0757855/,/name/nm0000244/,/name/nm0002332/"
tt5884796,Plane,2023,action,A pilot finds himself caught in a war zone after he's forced to land his commercial aircraft during a terrible storm.,Jean-François Richet,/name/nm0724938/,"Gerard Butler, 
Mike Colter, 
Tony Goldwyn, 
Yoson An","/name/nm0124930/,/name/nm1591496/,/name/nm0001282/,/name/nm5256788/"
tt6710474,Everything Everywhere All at Once,2022,action,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,"Dan Kwan, 
Daniel Scheinert",/name/nm3453283/,"Michelle Yeoh, 
Stephanie Hsu, 
Jamie Lee Curtis, 
Ke Huy Quan","/name/nm3215397/,/name/nm0000706/,/name/nm3513533/,/name/nm0000130/,/name/nm0702841/"
tt5433140,Fast X,2023,action,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,Louis Leterrier,/name/nm0504642/,"Vin Diesel, 
Jordana Brewster, 
Tyrese Gibson, 
Michelle Rodriguez","/name/nm0004874/,/name/nm0108287/,/name/nm0879085/,/name/nm0735442/"
tt10954600,Ant-Man and the Wasp: Quantumania,2023,action,"Scott Lang and Hope Van Dyne, along with Hank Pym and Janet Van Dyne, explore the Quantum Realm, where they interact with strange creatures and embark on an adventure that goes beyond the limits of what they thought was possible.",Peyton Reed,/name/nm0715636/,"Paul Rudd, 
Evangeline Lilly, 
Jonathan Majors, 
Kathryn Newton","/name/nm0748620/,/name/nm1431940/,/name/nm3718007/,/name/nm1105980/"
tt9686790,Shotgun Wedding,2022,action,Darcy and Tom gather their families for the ultimate destination wedding but when the entire wedding party is taken hostage the bride and groom must save their loved ones--if they don't kill each other first.,Jason Moore,/name/nm0601337/,"Jennifer Lopez, 
Josh Duhamel, 
Lenny Kravitz, 
Jennifer Coolidge","/name/nm0000182/,/name/nm0241049/,/name/nm0005107/,/name/nm0177639/"
tt12593682,Bullet Train,2022,action,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,David Leitch,/name/nm0500610/,"Brad Pitt, 
Joey King, 
Aaron Taylor-Johnson, 
Brian Tyree Henry","/name/nm0000093/,/name/nm1428821/,/name/nm1093951/,/name/nm3109964/"
tt1016150,All Quiet on the Western Front,2022,action,A young German soldier's terrifying experiences and distress on the western front during World War I.,Edward Berger,/name/nm0074163/,"Felix Kammerer, 
Albrecht Schuch, 
Aaron Hilmer, 
Moritz Klaus","/name/nm0436835/,/name/nm3477129/,/name/nm6037256/,/name/nm2714111/"
tt1745960,Top Gun: Maverick,2022,action,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.",Joseph Kosinski,/name/nm2676052/,"Tom Cruise, 
Jennifer Connelly, 
Miles Teller, 
Val Kilmer","/name/nm0000129/,/name/nm0000124/,/name/nm1886602/,/name/nm0000174/"
tt12844910,Pathaan,2023,action,An Indian spy takes on the leader of a group of mercenaries who have nefarious plans to target his homeland.,Siddharth Anand,/name/nm1893457/,"Shah Rukh Khan, 
Deepika Padukone, 
John Abraham, 
Dimple Kapadia","/name/nm0451321/,/name/nm2138653/,/name/nm1303433/,/name/nm0438092/"
