movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt15679400,Knock at the Cabin,2023,R,100 min,horror,6.4,"While vacationing, a girl and her parents are taken hostage by armed strangers who demand that the family make a choice to avert the apocalypse.",M. Night Shyamalan,/name/nm0796117/,"Dave Bautista, 
Jonathan Groff, 
Rupert Grint, 
Nikki Amuka-Bird","/name/nm1176985/,/name/nm2676147/,/name/nm0342488/,/name/nm0025458/",17991.0,""
tt9764362,The Menu,2022,R,107 min,horror,7.2,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",Mark Mylod,/name/nm0617042/,"Ralph Fiennes, 
Anya Taylor-Joy, 
Nicholas Hoult, 
Hong Chau","/name/nm0000146/,/name/nm5896355/,/name/nm0396558/,/name/nm2186865/",232052.0,""
tt8760708,M3GAN,2022,PG-13,102 min,horror,6.4,A robotics engineer at a toy company builds a life-like doll that begins to take on a life of its own.,Gerard Johnstone,/name/nm2067421/,"Allison Williams, 
Violet McGraw, 
Ronny Chieng, 
Amie Donald","/name/nm4129745/,/name/nm8627157/,/name/nm5307044/,/name/nm13143634/",62458.0,""
tt13051810,Viking Wolf,2022,TV-MA,97 min,horror,5.1,"Thale (17) has just moved with her parents to a small town after her mother has a new job in the local police. After a student is killed brutally at a party Thale attends, she becomes a key witness. Was the killer an animal? A wolf?",Stig Svendsen,/name/nm1457169/,"Liv Mjönes, 
Elli Rhiannon Müller Osborne, 
Arthur Hakalahti, 
Sjur Vatne Brean","/name/nm1203571/,/name/nm9602953/,/name/nm7416233/,/name/nm8447868/",3872.0,""
tt10365998,Infinity Pool,2023,R,117 min,horror,6.5,"James and Em Foster are enjoying an all-inclusive beach vacation in the fictional island of La Tolqa, when a fatal accident exposes the resort's perverse subculture of hedonistic tourism, reckless violence and surreal horrors.",Brandon Cronenberg,/name/nm0188722/,"Alexander Skarsgård, 
Mia Goth, 
Cleopatra Coleman, 
Dunja Sepcic","/name/nm0002907/,/name/nm5301405/,/name/nm1671147/,/name/nm0091841/",6955.0,""
tt17663992,Scream VI,2023,"",123 min,horror,"","In the next installment, the survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City.","Matt Bettinelli-Olpin, 
Tyler Gillett",/name/nm2366012/,"Melissa Barrera, 
Courteney Cox, 
Jenna Ortega, 
Jasmin Savoy Brown","/name/nm2419470/,/name/nm4574440/,/name/nm0001073/,/name/nm4911194/,/name/nm5506401/","",""
tt14138650,The Pale Blue Eye,2022,R,128 min,horror,6.6,"A world-weary detective is hired to investigate the murder of a West Point cadet. Stymied by the cadets' code of silence, he enlists one of their own to help unravel the case - a young man the world would come to know as Edgar Allan Poe.",Scott Cooper,/name/nm0178376/,"Christian Bale, 
Harry Melling, 
Simon McBurney, 
Timothy Spall","/name/nm0000288/,/name/nm0577982/,/name/nm0564402/,/name/nm0001758/",85087.0,""
tt13560574,X,2022,R,105 min,horror,6.6,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",Ti West,/name/nm1488800/,"Mia Goth, 
Jenna Ortega, 
Brittany Snow, 
Kid Cudi","/name/nm5301405/,/name/nm4911194/,/name/nm0811242/,/name/nm3264596/",113560.0,""
tt19623240,Winnie the Pooh: Blood and Honey,2023,"",84 min,horror,4.7,"After Christopher Robin abandons them for college, Pooh and Piglet embark on a bloody rampage as they search for a new source of food.",Rhys Frake-Waterfield,/name/nm6294482/,"Maria Taylor, 
Craig David Dowsett, 
Chris Cordell, 
Natasha Tosini","/name/nm10791266/,/name/nm13109503/,/name/nm12283443/,/name/nm13522085/",4579.0,""
tt13280054,Blood,2022,"",108 min,horror,5.3,"Jess, a separated mother and nurse, moves with her daughter and young son Owen back into her old farmhouse. Shortly after settling in, Owen is bitten by the dog, resulting in a mysterious infection from the bite.",Brad Anderson,/name/nm0026442/,"Michelle Monaghan, 
Skeet Ulrich, 
Finlay Wojtak-Hissong, 
June B. Wilde","/name/nm1157358/,/name/nm0000240/,/name/nm9840989/,/name/nm0672413/",1229.0,""
