movie_id,movie_name,genre,description,director,actor1,actor2,actor3
tt5433140,Fast X,crime,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,Louis Leterrier,Vin Diesel,Jordana Brewster,Tyrese Gibson
tt11564570,Glass Onion,crime,Famed Southern detective Benoit Blanc travels to Greece for his latest case.,Rian Johnson,Daniel Craig,Edward Norton,Kate Hudson
tt10365998,Infinity Pool,crime,"James and Em Foster are enjoying an all-inclusive beach vacation in the fictional island of La Tolqa, when a fatal accident exposes the resort's perverse subculture of hedonistic tourism, reckless violence and surreal horrors.",Brandon Cronenberg,Alexander Skarsgård,Mia Goth,Cleopatra Coleman
tt14138650,The Pale Blue Eye,crime,"A world-weary detective is hired to investigate the murder of a West Point cadet. Stymied by the cadets' code of silence, he enlists one of their own to help unravel the case - a young man the world would come to know as Edgar Allan Poe.",Scott Cooper,Christian Bale,Harry Melling,Simon McBurney
tt15789492,Infiesto,crime,"Two detectives are called to a small mining town in the Asturian mountains where a young woman who had been left for dead for months has suddenly appeared, leaving the detectives to question what dark forces are at work.",Patxi Amezcua,Isak Férriz,Iria del Río,Antonio Buíl
tt1877830,The Batman,crime,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",Matt Reeves,Robert Pattinson,Zoë Kravitz,Jeffrey Wright
tt0068646,The Godfather,crime,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan
tt8946378,Knives Out,crime,"A detective investigates the death of the patriarch of an eccentric, combative family.",Rian Johnson,Daniel Craig,Chris Evans,Ana de Armas
tt10233718,Vadh,crime,"After their son moves to USA, a middle-class married couple is relentlessly harassed by a loan shark.","Jaspal Singh Sandhu, 
Rajeev Barnwal",Sanjay Mishra,Neena Gupta,Manav Vij
tt0993846,The Wolf of Wall Street,crime,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie
tt11291274,The Unbearable Weight of Massive Talent,crime,"In this action-packed comedy, Nicolas Cage plays Nick Cage, channeling his iconic characters as he's caught between a superfan (Pedro Pascal) and a CIA agent (Tiffany Haddish).",Tom Gormican,Nicolas Cage,Pedro Pascal,Tiffany Haddish
tt0110912,Pulp Fiction,crime,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson
tt4873118,The Covenant,crime,"Follows Sergeant John, who on his last tour of duty in Afghanistan is teamed with local interpreter Ahmed, who risks his own life to carry an injured John across miles of grueling terrain to safety.",Guy Ritchie,Jake Gyllenhaal,Alexander Ludwig,Antony Starr
tt0468569,The Dark Knight,crime,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart
tt0144084,American Psycho,crime,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",Mary Harron,Christian Bale,Justin Theroux,Josh Lucas
tt10366206,John Wick: Chapter 4,crime,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",Chad Stahelski,Keanu Reeves,Donnie Yen,Bill Skarsgård
tt12477480,Decision to Leave,crime,A detective investigating a man's death in the mountains meets the dead man's mysterious wife in the course of his dogged sleuthing.,Park Chan-wook,Park Hae-il,Tang Wei,Lee Jung-hyun
tt13614388,Little Dixie,crime,"Doc facilitates a fragile truce between the Governor and Cartel, trading prosecutorial leniency for finance. With no more truce, Doc is left to fend for himself and protect the one untainted thing in his life: his daughter, Little Dixie.",John Swab,Frank Grillo,Annabeth Gish,Eric Dane
tt15600222,An Action Hero,crime,"Youth Icon. Superstar. Action Hero. At the age of just 30, Maanav was at the peak of his career when he got caught up in an accident while filming in Haryana. Maanav, who was once a household name, is now living in hiding.",Anirudh Iyer,Ayushmann Khurrana,Jaideep Ahlawat,Neeraj Madhav
