movie_id,movie_name,genre,description,director,star
tt1539997,Kerala Cafe,horror,A series of related and unrelated tales together linking them in subtle ways and discuss different shades of life.,"Uday Ananthan, 
Lal Jose, 
Shaji Kailas, 
Anjali Menon, 
M. Padmakumar, 
Shankar Ramakrishnan, 
Anwar Rasheed, 
Revathi, 
Shyamaprasad, 
B. Unnikrishnan","Sathyan Anthikad, 
Augustine, 
M.A. Baby, 
Nandan Chalissery"
tt0080730,Fiend,horror,"An evil spirit Possesses the corpse of a diseased man. It must absorb the life energy of the living, in order for the corpse to not rot away. It moves to the suburbs, where, a neighbor begins to suspect something isn't right.",Don Dohler,"Don Leifert, 
Richard Nelson, 
Elaine White, 
George Stover"
tt8059010,Bite Night,horror,'Haunted Honeymoon' meets 'My Best Friend is a Vampire' meets 'Clue'. When three beautiful ladies manage to grab the attention of a group of punks with their enchanting voices. They become ...                See full summary »,Maria Lee Metheringham,"Dani Thompson, 
Rachel Brownstein, 
Maria Lee Metheringham, 
Marcella Edgecombe-Craig"
tt8134980,Battlefield 2025,horror,"Weekend campers, an escaped convict, young lovers and a police officer experience a night of terror when a hostile visitor from another world descends on a small Arizona town.",Joseph Mbah,"Jose Rosete, 
Anna Harr, 
Dustin James Leighton, 
Caleb Thomas"
tt4953676,Garrow,horror,"Robert Francis Garrow was a serial rapist and murderer whose reign of terror paralyzed the North Country between the years of 1960 and 1978. Born in Mineville, New York in 1936, Robert's ...                See full summary »",Lori Kelly,"Mark Valley, 
Terri Garber, 
Philip Casnoff, 
Jay Alan Christianson"
tt6126492,Mother Krampus,horror,"Based on the myth of Frau Perchta, a witch that comes on the 12 days of Christmas taking children each night.",James Klass,"Claire-Maria Fox, 
Tony Manders, 
Faye Goodwin, 
Tara MacGowran"
tt3070506,Don't Look,horror,"\"In the tradition of classic horror movies, \"\"Don't Look\"\" is the story of five friends who leave NYC for a weekend they'll never forget.\"",Luciana Faulhaber,"Luciana Faulhaber, 
Lindsay Eshelman, 
Javier E. Gómez, 
Jeff Berg"
tt6034454,CarousHELL,horror,"Duke, a carousel unicorn, breaks free of his carnival hell and embarks on a bloody rampage of revenge on humanity.",Steve Rudzinski,"P.J. Gaynard, 
Andrew Zibritosky, 
Steve Rimpici, 
Teague Shaw"
tt0072392,Welcome to Arrow Beach,horror,A hippie girl wandering on a California beach is taken in by a Korean War veteran who lives in a nearby mansion with his sister. The girl soon begins to suspect that the mansion is home to some very strange goings-on.,Laurence Harvey,"Laurence Harvey, 
Joanna Pettet, 
Stuart Whitman, 
John Ireland"
tt9435162,DreadOut,horror,Six friends want to become popular by recording their adventures to be uploaded to social media accounts. They choose to go to the abandoned apartment and suddenly open a portal to the magical world and infuriate the portal guardian.,Kimo Stamboel,"Caitlin Halderman, 
Jefri Nichol, 
Marsha Aruan, 
Ciccio Manassero"
