movie_id,movie_name,genre,description,director,star
tt9114286,Black Panther: Wakanda Forever,action,The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.,Ryan Coogler,"Letitia Wright, 
Lupita Nyong'o, 
Danai Gurira, 
Winston Duke"
tt1630029,Avatar: The Way of Water,action,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.",James Cameron,"Sam Worthington, 
Zoe Saldana, 
Sigourney Weaver, 
Stephen Lang"
tt5884796,Plane,action,A pilot finds himself caught in a war zone after he's forced to land his commercial aircraft during a terrible storm.,Jean-François Richet,"Gerard Butler, 
Mike Colter, 
Tony Goldwyn, 
Yoson An"
tt6710474,Everything Everywhere All at Once,action,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,"Dan Kwan, 
Daniel Scheinert","Michelle Yeoh, 
Stephanie Hsu, 
Jamie Lee Curtis, 
Ke Huy Quan"
tt5433140,Fast X,action,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,Louis Leterrier,"Vin Diesel, 
Jordana Brewster, 
Tyrese Gibson, 
Michelle Rodriguez"
tt10954600,Ant-Man and the Wasp: Quantumania,action,"Scott Lang and Hope Van Dyne, along with Hank Pym and Janet Van Dyne, explore the Quantum Realm, where they interact with strange creatures and embark on an adventure that goes beyond the limits of what they thought was possible.",Peyton Reed,"Paul Rudd, 
Evangeline Lilly, 
Jonathan Majors, 
Kathryn Newton"
tt9686790,Shotgun Wedding,action,Darcy and Tom gather their families for the ultimate destination wedding but when the entire wedding party is taken hostage the bride and groom must save their loved ones--if they don't kill each other first.,Jason Moore,"Jennifer Lopez, 
Josh Duhamel, 
Lenny Kravitz, 
Jennifer Coolidge"
tt12593682,Bullet Train,action,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,David Leitch,"Brad Pitt, 
Joey King, 
Aaron Taylor-Johnson, 
Brian Tyree Henry"
tt1016150,All Quiet on the Western Front,action,A young German soldier's terrifying experiences and distress on the western front during World War I.,Edward Berger,"Felix Kammerer, 
Albrecht Schuch, 
Aaron Hilmer, 
Moritz Klaus"
tt1745960,Top Gun: Maverick,action,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.",Joseph Kosinski,"Tom Cruise, 
Jennifer Connelly, 
Miles Teller, 
Val Kilmer"
tt12844910,Pathaan,action,An Indian spy takes on the leader of a group of mercenaries who have nefarious plans to target his homeland.,Siddharth Anand,"Shah Rukh Khan, 
Deepika Padukone, 
John Abraham, 
Dimple Kapadia"
tt15486810,Teen Wolf: The Movie,action,"A terrifying evil has emerged. The wolves howl once again, but only a Werewolf like Scott McCall, can gather both new allies and reunite trusted friends to fight back against what could be the most powerful and deadliest enemy.",Russell Mulcahy,"Tyler Posey, 
Crystal Reed, 
Holland Roden, 
Tyler Hoechlin"
tt1825683,Black Panther,action,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Ryan Coogler,"Chadwick Boseman, 
Michael B. Jordan, 
Lupita Nyong'o, 
Danai Gurira"
tt1877830,The Batman,action,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",Matt Reeves,"Robert Pattinson, 
Zoë Kravitz, 
Jeffrey Wright, 
Colin Farrell"
tt0092099,Top Gun,action,"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",Tony Scott,"Tom Cruise, 
Tim Robbins, 
Kelly McGillis, 
Val Kilmer"
tt0499549,Avatar,action,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,James Cameron,"Sam Worthington, 
Zoe Saldana, 
Sigourney Weaver, 
Michelle Rodriguez"
tt13539646,The Wandering Earth II,action,"Humans built huge engines on the surface of the earth to find a new home. But the road to the universe is perilous. In order to save earth, young people once again have to step forward to start a race against time for life and death.",Frant Gwo,"Andy Lau, 
Zina Blahusova, 
Jing Wu, 
Clara Lee"
tt6443346,Black Adam,action,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods--and imprisoned just as quickly--Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",Jaume Collet-Serra,"Dwayne Johnson, 
Aldis Hodge, 
Pierce Brosnan, 
Noah Centineo"
tt7985704,Operation Fortune: Ruse de guerre,action,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,Guy Ritchie,"Jason Statham, 
Aubrey Plaza, 
Cary Elwes, 
Hugh Grant"
tt8041270,Jurassic World: Dominion,action,"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.",Colin Trevorrow,"Chris Pratt, 
Bryce Dallas Howard, 
Laura Dern, 
Sam Neill"
tt1392170,The Hunger Games,action,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,Gary Ross,"Jennifer Lawrence, 
Josh Hutcherson, 
Liam Hemsworth, 
Stanley Tucci"
tt7693316,Devotion,action,A pair of U.S. Navy fighter pilots risk their lives during the Korean War and become some of the Navy's most celebrated wingmen.,J.D. Dillard,"Jonathan Majors, 
Glen Powell, 
Christina Jackson, 
Thomas Sadoski"
tt11138512,The Northman,action,A young Viking prince is on a quest to avenge his father's murder.,Robert Eggers,"Alexander Skarsgård, 
Nicole Kidman, 
Claes Bang, 
Ethan Hawke"
tt1160419,Dune,action,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,Denis Villeneuve,"Timothée Chalamet, 
Rebecca Ferguson, 
Zendaya, 
Oscar Isaac"
tt0439572,The Flash,action,"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future.",Andy Muschietti,"Ben Affleck, 
Michael Shannon, 
Michael Keaton, 
Ezra Miller"
tt11291274,The Unbearable Weight of Massive Talent,action,"In this action-packed comedy, Nicolas Cage plays Nick Cage, channeling his iconic characters as he's caught between a superfan (Pedro Pascal) and a CIA agent (Tiffany Haddish).",Tom Gormican,"Nicolas Cage, 
Pedro Pascal, 
Tiffany Haddish, 
Sharon Horgan"
tt8093700,The Woman King,action,"A historical epic inspired by true events that took place in The Kingdom of Dahomey, one of the most powerful states of Africa in the 18th and 19th centuries.",Gina Prince-Bythewood,"Viola Davis, 
Thuso Mbedu, 
Lashana Lynch, 
Sheila Atim"
tt8178634,RRR,action,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.,S.S. Rajamouli,"N.T. Rama Rao Jr., 
Ram Charan Teja, 
Ajay Devgn, 
Alia Bhatt"
tt0120737,The Lord of the Rings: The Fellowship of the Ring,action,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,"Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean"
tt4873118,The Covenant,action,"Follows Sergeant John, who on his last tour of duty in Afghanistan is teamed with local interpreter Ahmed, who risks his own life to carry an injured John across miles of grueling terrain to safety.",Guy Ritchie,"Jake Gyllenhaal, 
Alexander Ludwig, 
Antony Starr, 
Jonny Lee Miller"
tt10648342,Thor: Love and Thunder,action,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",Taika Waititi,"Chris Hemsworth, 
Natalie Portman, 
Christian Bale, 
Tessa Thompson"
tt2906216,Dungeons & Dragons: Honor Among Thieves,action,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.","John Francis Daley, 
Jonathan Goldstein","Chris Pine, 
Michelle Rodriguez, 
Regé-Jean Page, 
Justice Smith"
tt15829724,The Locksmith,action,"A thief fresh out of prison, tries to work his way back into the life of his daughter and ex-fiancé. Determined, he is forced to use the skills he has as a gifted locksmith. Things take a tumultuous turn after an unexpected disappearance.",Nicolas Harvard,"Kate Bosworth, 
Ryan Phillippe, 
Jeffrey Nordling, 
Ving Rhames"
tt0468569,The Dark Knight,action,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,"Christian Bale, 
Heath Ledger, 
Aaron Eckhart, 
Michael Caine"
tt1375666,Inception,action,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan,"Leonardo DiCaprio, 
Joseph Gordon-Levitt, 
Elliot Page, 
Ken Watanabe"
tt10872600,Spider-Man: No Way Home,action,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",Jon Watts,"Tom Holland, 
Zendaya, 
Benedict Cumberbatch, 
Jacob Batalon"
tt1462764,Indiana Jones and the Dial of Destiny,action,The plot is unknown at this time.,James Mangold,"Harrison Ford, 
Mads Mikkelsen, 
Boyd Holbrook, 
Antonio Banderas"
tt10366206,John Wick: Chapter 4,action,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",Chad Stahelski,"Keanu Reeves, 
Donnie Yen, 
Bill Skarsgård, 
Laurence Fishburne"
tt0172495,Gladiator,action,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,"Russell Crowe, 
Joaquin Phoenix, 
Connie Nielsen, 
Oliver Reed"
